Date,Quantity,UniqueItemCount,Net sales,Gross sales
2023-08-27,30.0,18,0.0,0.0
2023-08-28,41.0,24,0.0,0.0
2023-08-29,41.0,23,0.0,0.0
2023-08-30,27.0,19,0.0,0.0
2023-08-31,17.0,11,0.0,0.0
2023-09-01,43.0,27,0.0,0.0
2023-09-02,24.0,19,0.0,0.0
2023-09-03,25.0,16,0.0,0.0
2023-09-04,78.0,37,0.0,0.0
2023-09-05,34.0,23,0.0,0.0
2023-09-06,19.0,14,0.0,0.0
2023-09-07,28.0,16,0.0,0.0
2023-09-08,35.0,21,0.0,0.0
2023-09-09,20.0,15,0.0,0.0
2023-09-10,89.0,40,0.0,0.0
2023-09-11,42.0,24,0.0,0.0
2023-09-12,43.0,26,0.0,0.0
2023-09-13,25.0,21,0.0,0.0
2023-09-14,46.0,28,0.0,0.0
2023-09-15,24.0,18,0.0,0.0
2023-09-16,39.0,22,0.0,0.0
2023-09-17,42.0,25,0.0,0.0
2023-09-18,29.0,21,0.0,0.0
2023-09-19,31.0,18,0.0,0.0
2023-09-20,33.0,16,0.0,0.0
2023-09-21,12.0,7,0.0,0.0
2023-09-22,43.0,24,0.0,0.0
2023-09-23,38.0,24,0.0,0.0
2023-09-24,28.0,20,0.0,0.0
2023-09-25,15.0,13,0.0,0.0
2023-09-26,21.0,15,0.0,0.0
2023-09-27,44.0,22,0.0,0.0
2023-09-28,52.0,33,0.0,0.0
2023-09-29,71.0,39,0.0,0.0
2023-09-30,60.0,28,0.0,0.0
2023-10-01,38.0,25,0.0,0.0
2023-10-02,39.0,20,0.0,0.0
2023-10-03,48.0,30,0.0,0.0
2023-10-04,53.0,29,0.0,0.0
2023-10-05,47.0,25,0.0,0.0
2023-10-06,54.0,28,0.0,0.0
2023-10-07,42.0,27,0.0,0.0
2023-10-08,38.0,22,0.0,0.0
2023-10-10,28.0,10,0.0,0.0
2023-10-11,58.0,28,0.0,0.0
2023-10-12,23.0,15,0.0,0.0
2023-10-13,73.0,26,0.0,0.0
2023-10-14,57.0,27,0.0,0.0
2023-10-15,30.0,20,0.0,0.0
2023-10-16,52.0,26,0.0,0.0
2023-10-17,35.0,19,0.0,0.0
2023-10-18,42.0,25,0.0,0.0
2023-10-19,32.0,17,0.0,0.0
2023-10-20,36.0,20,0.0,0.0
